Designator,Mid X,Mid Y,Layer,Rotation
U1,65.583522,-204,top,180
U2,69.067044,-204.7,top,180
U3,67.483522,-224.5,top,180
U4,71.1,-225.4,top,180
U5,69.4,-241.2,top,180
U6,72.683522,-242.7,top,180
U7,71.3,-259.8,top,180
U8,74.8,-262,top,180
U9,72.5,-202.4,top,180
U10,76.1,-203,top,180
U11,79.7,-203.8,top,180
U12,83.4,-204.4,top,180
U13,87,-205.1,top,180
U14,90.5,-205.8,top,180
U15,94.3,-206.2,top,180
U16,98.2,-206.8,top,180
U17,102.4,-207.5,top,180
U18,106.983522,-208,top,180
U19,111.9,-208.6,top,180
U20,116.783522,-209.1,top,180
U21,121.8,-209.5,top,180
U22,126.7,-209.8,top,180
U23,132.3,-210.2,top,180
U24,138.4,-210.5,top,180
U25,144.283522,-210.7,top,180
U26,151.1,-210.8,top,180
U27,157.7,-210.9,top,180
U28,164.1,-210.9,top,180
U29,171.1,-210.7,top,180
U30,178.2,-210.6,top,180
U31,185.6,-210.4,top,180
U32,193,-210.1,top,180
U33,198.9,-209.7,top,180
U34,73.3,-209.5,top,180
U35,76.9,-210.3,top,180
U36,80.4,-211,top,180
U37,84.1,-211.9,top,180
U38,87.6,-212.6,top,180
U39,91,-213.2,top,180
U40,94.7,-213.8,top,180
U41,98.5,-214.4,top,180
U42,102.7,-215.1,top,180
U43,107.2,-215.6,top,180
U44,112.1,-216.2,top,180
U45,117,-216.6,top,180
U46,121.883522,-217.1,top,180
U47,126.9,-217.4,top,180
U48,132.5,-217.7,top,180
U49,138.5,-218.1,top,180
U50,144.5,-218.4,top,180
U51,151.283522,-218.7,top,180
U52,158,-218.8,top,180
U53,164.3,-219,top,180
U54,171.4,-219.1,top,180
U55,178.3,-219,top,180
U56,185.683522,-218.8,top,180
U57,193,-218.5,top,180
U58,198.9,-218.2,top,180
U59,74,-217.1,top,180
U60,77.6,-217.8,top,180
U61,81.1,-218.5,top,180
U62,84.7,-219.2,top,180
U63,88.1,-219.9,top,180
U64,91.6,-220.5,top,180
U65,95.2,-221.1,top,180
U66,98.9,-221.6,top,180
U67,103,-222.3,top,180
U68,107.383522,-222.9,top,180
U69,112.2,-223.6,top,180
U70,117.1,-224.2,top,180
U71,122,-224.8,top,180
U72,127,-225.3,top,180
U73,132.6,-226,top,180
U74,138.7,-226.4,top,180
U75,144.7,-226.8,top,180
U76,151.4,-227.2,top,180
U77,158.1,-227.5,top,180
U78,164.6,-227.7,top,180
U79,171.6,-227.8,top,180
U80,178.4,-227.8,top,180
U81,185.7,-227.8,top,180
U82,192.9,-227.6,top,180
U83,198.9,-227.4,top,180
U84,74.6,-224.2,top,180
U85,78.1,-225.2,top,180
U86,81.5,-226,top,180
U87,85.1,-226.8,top,180
U88,88.6,-227.6,top,180
U89,92.1,-228.3,top,180
U90,95.7,-229.1,top,180
U91,99.3,-229.8,top,180
U92,103.4,-230.5,top,180
U93,107.7,-231.2,top,180
U94,112.383522,-232,top,180
U95,117.2,-232.8,top,180
U96,122.2,-233.3,top,180
U97,127.183522,-233.8,top,180
U98,132.8,-234.4,top,180
U99,138.9,-235,top,180
U100,144.9,-235.4,top,180
U101,151.7,-235.8,top,180
U102,158.4,-236.1,top,180
U103,164.9,-236.3,top,180
U104,171.8,-236.5,top,180
U105,178.6,-236.5,top,180
U106,185.8,-236.5,top,180
U107,192.9,-236.5,top,180
U108,198.9,-236.2,top,180
U109,75.1,-231.4,top,180
U110,78.7,-232.6,top,180
U111,82.1,-233.5,top,180
U112,85.7,-234.5,top,180
U113,89.2,-235.4,top,180
U114,92.7,-236.2,top,180
U115,96.2,-237,top,180
U116,99.8,-237.8,top,180
U117,103.7,-238.6,top,180
U118,107.783522,-239.4,top,180
U119,112.6,-240.2,top,180
U120,117.4,-241,top,180
U121,122.3,-241.7,top,180
U122,127.4,-242.3,top,180
U123,132.9,-243,top,180
U124,139.1,-243.4,top,180
U125,145.1,-243.9,top,180
U126,151.683522,-244.2,top,180
U127,158.6,-244.5,top,180
U128,165.1,-244.7,top,180
U129,172,-244.8,top,180
U130,178.8,-244.8,top,180
U131,185.683522,-244.8,top,180
U132,192.8,-244.6,top,180
U133,198.8,-244.4,top,180
U134,75.4,-238.5,top,180
U135,78.9,-239.7,top,180
U136,82.4,-241,top,180
U137,86,-242.1,top,180
U138,89.5,-243.2,top,180
U139,93,-244.2,top,180
U140,96.5,-245.1,top,180
U141,100,-245.9,top,180
U142,104.1,-247,top,180
U143,108.3,-247.8,top,180
U144,112.9,-248.8,top,180
U145,117.6,-249.6,top,180
U146,122.5,-250.3,top,180
U147,127.6,-251,top,180
U148,133.1,-251.6,top,180
U149,139.3,-252.2,top,180
U150,145.3,-252.6,top,180
U151,152.2,-252.8,top,180
U152,158.9,-253,top,180
U153,165.4,-253,top,180
U154,172.3,-253.1,top,180
U155,178.9,-253.2,top,180
U156,186,-253.1,top,180
U157,192.8,-253,top,180
U158,198.8,-252.8,top,180
U159,76.4,-245.5,top,180
U160,79.9,-247.1,top,180
U161,83.4,-248.5,top,180
U162,87,-250,top,180
U163,90.6,-251.4,top,180
U164,94.1,-252.5,top,180
U165,97.683522,-253.6,top,180
U166,101.3,-254.7,top,180
U167,104.8,-255.7,top,180
U168,108.6,-256.5,top,180
U169,113,-257.5,top,180
U170,117.7,-258.4,top,180
